Max Payoff: 13052
16 22 34
41 56 30
143 183 86
227 328 82
352 474 92
570 625 90
658 712 67
725 849 49
858 878 30
895 940 85
966 986 95
1092 1120 51
1122 1132 61
1197 1249 94
1328 1413 90
1435 1516 64
1598 1670 92
1678 1691 1
1717 1723 77
1768 1799 56
1856 1858 30
1873 1895 74
1942 1945 93
1975 2016 97
2032 2048 23
2103 2109 66
2181 2185 73
2237 2273 91
2328 2334 80
2356 2373 36
2383 2452 81
2485 2567 89
2584 2681 94
2732 2808 92
2823 2866 78
2873 2893 76
2949 2980 88
3012 3056 7
3059 3068 73
3085 3194 41
3211 3257 63
3269 3342 97
3428 3429 49
3449 3509 10
3513 3568 42
3588 3668 80
3699 3701 80
3716 3757 16
3797 3807 47
3892 3940 49
3963 4024 78
4032 4087 72
4099 4138 74
4218 4259 18
4276 4392 75
4401 4534 92
4542 4634 81
4684 4714 95
4746 4804 85
4847 4903 41
4906 4941 91
4959 5024 10
5039 5085 51
5095 5100 54
5166 5172 73
5212 5256 15
5308 5317 62
5325 5413 74
5423 5487 82
5513 5612 98
5654 5679 75
5710 5745 89
5784 5786 51
5800 5849 60
5856 5930 71
5936 5963 41
6014 6066 61
6100 6141 89
6180 6208 94
6222 6250 38
6289 6336 56
6366 6372 66
6411 6445 96
6445 6450 57
6452 6456 24
6471 6488 31
6488 6517 56
6527 6551 33
6556 6643 100
6661 6750 94
6756 6783 57
6793 6843 23
6883 6909 81
6933 6971 66
6992 7001 99
7048 7062 10
7069 7097 81
7117 7137 27
7138 7201 97
7202 7258 99
7284 7287 76
7330 7432 97
7448 7500 63
7519 7559 95
7563 7610 100
7634 7656 53
7665 7684 48
7689 7740 90
7742 7743 51
7767 7821 35
7826 7847 81
7851 7880 14
7887 7933 78
7942 8002 99
8004 8018 52
8045 8084 81
8110 8141 66
8156 8203 81
8220 8221 1
8229 8246 87
8255 8338 81
8362 8369 75
8369 8406 28
8440 8469 99
8469 8543 53
8547 8555 17
8559 8560 10
8566 8619 58
8624 8631 91
8653 8705 95
8749 8784 75
8802 8906 94
8908 8909 58
8931 8941 43
8942 8958 62
8967 8977 86
8980 8999 73
9014 9048 74
9070 9087 49
9089 9130 36
9133 9167 72
9189 9193 78
9205 9217 90
9230 9243 84
9243 9257 77
9275 9293 92
9307 9317 41
9335 9358 83
9360 9378 86
9393 9407 65
9420 9451 93
9456 9466 9
9466 9499 95
9504 9514 36
9526 9544 94
9554 9558 73
9565 9578 65
9579 9596 38
9606 9628 93
9631 9637 7
9653 9663 96
9669 9675 90
9686 9688 28
9691 9704 59
9710 9712 67
9717 9724 35
9749 9756 69
9761 9771 54
9781 9789 49
9791 9809 71
9811 9813 98
9822 9838 85
9844 9849 96
9853 9861 90
9864 9866 33
9868 9869 44
9877 9881 92
9882 9895 95
9895 9899 58
9904 9911 83
9914 9927 26
9927 9932 6
9932 9938 84
9942 9948 69
9948 9961 72
9961 9962 79
9963 9966 68
9968 9970 67
9974 9975 55
9976 9977 22
9980 9981 79
9982 9983 78
9983 9985 85
9989 9990 74
9991 9992 51
9994 9996 65
9996 9997 89
9997 9999 76
9999 10000 55
