Max Payoff: 2986
208 391 30
498 538 89
648 1027 84
1078 1200 37
1474 1477 64
1887 2462 50
2573 2761 58
2843 3079 90
3132 3868 84
4458 4652 48
4652 4830 75
4985 4994 18
5054 5055 94
5097 5509 84
5540 6153 87
6204 6480 100
6719 6783 50
6842 7392 86
7573 7680 71
7781 7905 82
8062 8155 75
8243 8347 85
8382 8495 55
8508 8679 61
8679 8680 97
8712 8757 88
8785 8856 86
8969 9013 87
9030 9038 89
9096 9228 65
9280 9286 66
9288 9299 23
9342 9479 55
9479 9662 83
9676 9691 53
9696 9708 45
9828 9829 54
9837 9902 77
9910 9912 37
9925 9940 73
9956 9960 93
9965 9969 76
9986 9993 82
