Max Payoff: 13995
10 36 69
47 83 81
105 185 89
245 328 96
351 500 96
506 518 47
571 580 97
638 747 92
755 854 93
877 893 5
908 971 75
988 1015 85
1032 1125 75
1151 1164 47
1180 1204 49
1246 1304 70
1310 1358 93
1388 1457 94
1463 1517 70
1560 1595 97
1628 1754 72
1771 1819 42
1856 1873 12
1899 1923 61
1924 1954 84
2104 2233 94
2311 2354 80
2375 2382 33
2411 2551 65
2558 2563 37
2603 2612 97
2616 2725 58
2789 2907 73
2913 2941 99
2941 2944 35
2949 3049 92
3066 3082 81
3142 3147 100
3266 3269 73
3312 3320 89
3335 3339 72
3383 3395 86
3402 3449 80
3458 3529 76
3533 3643 45
3648 3667 42
3709 3731 38
3772 3795 44
3808 3813 100
3847 3924 78
3999 4024 7
4083 4189 91
4194 4198 35
4240 4293 78
4323 4441 100
4470 4532 75
4538 4541 64
4580 4637 48
4659 4668 8
4707 4784 55
4817 4858 67
4869 4893 56
4926 4956 67
4999 5008 26
5012 5039 73
5071 5158 100
5211 5216 41
5315 5362 71
5410 5434 71
5437 5496 97
5503 5514 96
5577 5645 65
5646 5736 95
5758 5789 83
5825 5852 81
5873 5909 90
5932 5993 100
5994 6035 9
6045 6104 80
6145 6146 53
6183 6293 86
6296 6359 49
6421 6450 90
6452 6466 16
6504 6510 38
6527 6601 79
6604 6633 38
6633 6749 91
6769 6925 97
6974 6994 40
7012 7013 84
7020 7051 49
7085 7156 70
7165 7199 61
7215 7247 64
7267 7294 19
7300 7329 70
7335 7353 26
7359 7406 29
7406 7479 87
7490 7507 85
7561 7585 87
7592 7612 59
7628 7649 72
7698 7759 91
7771 7841 68
7867 7893 34
7903 7913 26
7926 7929 54
7949 7969 72
8008 8021 4
8022 8036 62
8045 8090 100
8108 8134 87
8141 8145 78
8157 8182 25
8188 8228 94
8230 8255 34
8303 8304 76
8306 8340 94
8363 8371 85
8371 8430 79
8431 8458 36
8476 8485 45
8502 8512 81
8560 8569 60
8588 8613 78
8628 8639 50
8648 8650 64
8662 8681 57
8686 8696 78
8728 8769 60
8771 8773 81
8784 8793 51
8817 8836 63
8837 8849 58
8854 8881 40
8904 8913 61
8918 8924 84
8954 9005 71
9009 9017 91
9028 9029 40
9049 9079 90
9115 9127 75
9129 9136 8
9143 9174 99
9186 9250 74
9257 9259 49
9265 9302 89
9308 9325 42
9336 9352 87
9353 9364 100
9383 9387 64
9399 9426 91
9446 9456 99
9481 9491 90
9497 9522 97
9523 9525 45
9529 9531 55
9531 9550 69
9566 9571 51
9573 9575 73
9585 9620 98
9627 9635 100
9642 9652 81
9661 9662 96
9674 9683 76
9686 9701 95
9703 9712 87
9719 9737 88
9740 9741 88
9742 9747 40
9761 9782 97
9785 9788 79
9794 9798 88
9799 9812 82
9820 9821 79
9839 9841 75
9846 9848 40
9852 9854 82
9857 9863 63
9869 9875 83
9878 9890 64
9891 9895 80
9896 9908 10
9912 9917 93
9925 9926 78
9935 9940 95
9940 9941 87
9942 9947 56
9950 9957 79
9959 9969 97
9969 9975 92
9976 9977 30
9978 9979 75
9983 9987 90
9987 9988 96
9988 9991 77
9991 9992 77
9992 9994 61
9994 9996 77
9997 9998 53
9998 10000 26
