Max Payoff: 13182
10 80 92
92 237 84
252 253 64
404 416 71
429 452 88
477 481 41
482 503 44
540 554 51
562 610 82
641 718 71
730 761 49
818 833 72
853 1044 97
1044 1097 72
1102 1130 7
1144 1189 76
1222 1234 31
1256 1311 49
1324 1451 77
1517 1557 76
1626 1679 64
1687 1772 63
1817 1878 48
1895 1909 22
1924 1944 16
1960 1995 61
1999 2088 95
2094 2150 7
2200 2213 49
2263 2311 13
2333 2351 38
2355 2457 60
2466 2476 27
2497 2596 87
2635 2651 11
2674 2698 86
2709 2750 1
2764 2795 92
2827 2866 78
2894 2913 28
2922 2941 32
2951 2969 31
3012 3045 51
3078 3093 5
3131 3165 93
3185 3203 77
3247 3273 49
3276 3320 61
3424 3430 24
3485 3567 88
3608 3631 57
3646 3675 47
3725 3798 66
3814 3830 78
3881 3911 48
3916 3981 84
3987 4078 62
4109 4176 95
4269 4291 76
4291 4323 88
4365 4375 59
4394 4458 90
4484 4517 85
4523 4564 72
4605 4695 76
4726 4729 65
4732 4756 55
4870 4885 20
4892 4899 97
4911 4963 67
4992 5032 98
5032 5041 6
5068 5081 37
5105 5111 47
5120 5128 27
5131 5297 94
5341 5347 81
5407 5509 78
5511 5621 26
5637 5688 71
5741 5751 37
5763 5807 37
5813 5890 37
5913 5924 46
5944 5981 85
6017 6053 89
6064 6091 19
6095 6141 93
6145 6156 82
6165 6195 61
6259 6268 28
6297 6317 78
6366 6392 83
6449 6458 66
6487 6494 44
6501 6504 61
6555 6566 81
6569 6648 79
6650 6688 19
6695 6717 58
6727 6812 93
6824 6864 35
6905 6910 60
6912 6973 89
7025 7060 66
7113 7138 43
7150 7206 94
7216 7280 80
7289 7380 69
7391 7394 22
7400 7464 82
7494 7505 76
7527 7571 96
7639 7651 87
7674 7714 87
7743 7768 57
7768 7780 95
7825 7830 94
7838 7855 72
7871 7929 94
7964 7980 91
8005 8017 71
8020 8084 59
8087 8153 73
8153 8171 18
8179 8185 88
8193 8235 49
8238 8265 92
8294 8308 52
8310 8336 66
8352 8381 64
8400 8401 25
8425 8452 86
8455 8533 70
8548 8579 77
8587 8603 84
8604 8664 19
8671 8675 60
8675 8686 44
8691 8698 86
8709 8744 72
8748 8784 93
8816 8886 84
8896 8903 95
8907 8921 58
8946 8974 50
8979 8989 90
8995 9021 90
9031 9042 62
9062 9077 86
9080 9091 39
9099 9104 18
9109 9115 66
9128 9137 1
9146 9153 93
9154 9158 50
9166 9177 17
9204 9218 50
9219 9226 93
9250 9255 94
9257 9282 13
9297 9301 62
9302 9332 34
9341 9348 34
9356 9359 93
9367 9369 70
9373 9401 95
9422 9428 80
9462 9470 71
9472 9475 25
9477 9487 59
9504 9506 82
9535 9545 76
9545 9574 97
9586 9597 77
9600 9605 21
9608 9632 94
9634 9642 47
9658 9691 82
9697 9700 99
9701 9718 49
9720 9723 53
9740 9749 100
9749 9768 36
9777 9786 78
9803 9816 88
9822 9827 24
9828 9832 58
9837 9840 85
9850 9859 60
9859 9871 95
9873 9877 46
9883 9887 46
9887 9892 71
9898 9901 100
9907 9911 16
9913 9922 78
9924 9926 43
9928 9931 85
9937 9939 49
9943 9952 96
9955 9957 75
9961 9964 67
9964 9966 39
9967 9971 45
9975 9980 40
9984 9989 66
9989 9992 76
9992 9998 84
9998 10000 71
